0,1,2,3,4,5
"Dell Inspiron 3511 Laptop (11th Gen Intel Core i3-1115G4/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 11/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i3-1115G4, 8GB, Windows 11 Home,512gb ssd,49599
"Dell Vostro 3405 Laptop (AMD Ryzen 3-3250U/8 GB RAM/512 GB SSD/Radeon Graphics/Windows 11/MSO/FHD), 35.36 cm (14 inch)",AMD Ryzen 3-3250U, 8 GB, Windows 11,512 gb ssd,40049
"Lenovo IdeaPad 3 L1IN Laptop (11th Gen Intel Core i3-1115G4/8 GB/512GB SSD/ Intel UHD Graphics/ Windows 11/ MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor, 8GB, Windows 11,512 gb ssd,40990
"Dell Vostro 3400 Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Radeon Graphics/Windows 11/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i5-1135G7, 8 GB, Windows 11,512 gb ssd,54799
"Avita Essential Laptop (Intel Celeron/4GB RAM/256GB SSD/Integrated Graphics/Windows 10/FHD), 35.56 cm (14 inch)",Intel Celeron Processor, 4GB,,256gb ssd,22999
"HP 13-ay1059AU Envy x360 Convertible Laptop (AMD Ryzen 5-5600U/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD), 33.8 cm (13.3 inch)",AMD Ryzen 5-5600U Processor, 8GB, Windows 11,512gb ssd,71999
"HP Omen 16-b1350TX Gaming Laptop (12th Gen Intel Core i7-12700H/16 GB/1 TB SSD/NVIDIA GeForce RTX 3050 Graphics/Windows 11/MSO/FHD), 40.9 cm (16.1 inch)",12th Gen Intel Core i7-12700H, 16 GB, Windows 11,1 tb ssd,128999
"HP 15-EH2018AU Pavilion Laptop (AMD Ryzen 5 5625U/8 GB/512 GB SSD/AMD Radeon Graphics/ Windows 11/ MSO/FHD), 39.62 cm (15.6 inch)",AMD Ryzen 5 5625U Mobile Processor, 8 GB, Windows 11,512 gb ssd ssd,58999
"Dell 5520 G15 Gaming Laptop (12th Gen Intel Core i7-12700H/16GB/512GB SSD/6 GB Nvidia GeForce RTX 3060 Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",12th Gen Intel 14 Core i7-12700H, 16GB, Windows 11,512gb ssd,129999
"Dell 3511 Inspiron 15 Standard Laptop (11th Gen-Intel Core i5-1135G7/8 GB/512GB SSD/2 GB Nvidia GeForce MX350 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor, 8GB, Windows 11,512gb ssd,65799
"Lenovo A4IN IdeaPad G3 Gaming Laptop (11th Gen Intel Core i5-11320H/8GB/512GB SSD/4GB NVIDIA GeForce GTX 1650 Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-11320H Processor, 8GB,Windows 11 Home,512gb ssd,57990
"Asus Vivobook 15 EZ312WS Laptop (12th Gen Intel Core i3-1220P/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",Intel Core i3-1220P 10-Core Processor, 8GB, Windows 11 Home,,43990
"Asus HX021W ROG Strix G17 (2022) G713 Gaming Laptop (AMD Ryzen 7 6800H/16GB/512GB SSD/4GB/NVIDIA GeForce RTX 3050/Windows 11/FHD), 43.94 cm (17.3 inch)",AMD Ryzen7-6800H Processor, 16 GB, Window 11,512 gb ssd,90990
"Asus VivoBook S 15 L701WS Laptop (12th Gen Intel Core i7-12700H/16GB/512GB SDD/Windows 11/MSO/OLED), 39.62 cm (15.6 inch)",Intel Core i7-12700H Processor, 16GB, Windows 11 Home,512 gb ssd,79990
"Dell Vostro 3500 Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Windows 11/MSO/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i5-1135G7, 8 GB, Windows 11,512 gb ssd,49999
"Dell 3515 Inspiron 15 Standard Laptop (AMD Ryzen 5 3450U/8 GB/512GB SSD/AMD Vega Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 3450U Processor, 8GB, Windows 11,512gb ssd,39999
"HP Pavilion 15-dk2100TX Gaming Laptop (11th Intel Core i5-11300H/8GB/1TB HDD + 256GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 11/MSO/FHD), 39.6 cm (15.6 inch)",11th-Intel Core i5-11300H, 8GB, Windows 11,1tb + 256gb hybrid,72997
"Asus HN072WS TUF F15 Gaming Laptop (12th Gen Intel Core i7-12700H/16 GB/1 TB SSD/4GB Nvidia GeForce RTX 3050Ti Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",12th Gen Intel Core i7-12700H Processor, 16 GB, Windows 11,1 tb ssd,114990
"Asus E410 Eeebook (Intel Celeron N4500/ 4 GB RAM/ 256 GB SSD/ Intel HD Graphics/ Windows 11 Home/ HD), 35.56 cm (14 inch)",Intel Celeron N4500 Processor,, Windows 11 Home,256 gb sdd,22990
"Dell 5410 Inspiron 14 2-in-1 Convertible Laptop (11th Gen-Intel Core i5-1155G7/16 GB/512GB SSD/2 GB Nvidia GeForce MX350 Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1155G7 Processor, 16GB, Windows 11,512gb ssd,76999
"Asus KM731WS ZenBook 14 Laptop (12th Gen Intel Core i7-1260P /16GB/512GB SDD/Intel Iris Xe Graphics/Windows 11/MSO/OLED), 35.56 cm (14 inch)",Intel Core i7-1260P Processor, 16GB, Windows 11,512 ssd,99990
"Asus E210MA-GJ002W Laptop (Intel Celeron N4020/4GB/128GB eMMC/Windows 11/HD), 29.4 cm (11.6 inch)",Intel Celeron-N4020, 4 GB DDR4, Windows 11 Home,128 gb 128gb emmc,21990
"Asus BV322WS VivoBook 14 Laptop (10th Gen Intel Core i3-1005G1/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11/MSO/ HD), 35.56 cm (14 inch)",10th Gen Intel Core i3-1005G1 Processor, 8 GB, Windows 11,512 gb ssd,30990
"Asus HQ030WS TUF Dash F15 Gaming Laptop (12th Gen Intel i7-12650H/16 GB/1TB SSD/8 GB Nvidia GeForce RTX 3070 Graphics/Windows 11/MSO/WQHD), 39.62 cm (15.6 inch)",12th Gen Intel Core i7-12650H Processor, 16 GB, Windows 11,1 tb ssd,149999
"HP 14s-ef1003TU Laptop (11th Gen-Intel Core i5-1135G7/8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 35.6 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 11,512 gb ssd,55450
"HP16-c0138AX OMEN Gaming Laptop (AMD Ryzen7-5800H/16GB/ 512GB SDD/4 GB Nvidia GeForce RTX 3050Ti/Windows11/MSO/Full HD), 40.9 cm (16.1 inch)",AMD Ryzen7 5800H Processor, 16GB, Windows 11,512gb ssd,99278
"Asus HN124W TUF A15 Gaming Laptop (AMD Ryzen 9 5900HX/16 GB/512 GB SSD/6GB Nvidia GeForce RTX 3060 Graphics/Windows 11/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 9 5900HX Mobile Processor, 16 GB, Windows 11,512 gb ssd,99999
"Asus HQ275WS ROG Strix G15 Gaming Laptop (AMD Ryzen 7 6800H/16 GB/1TB SSD/6 GB Nvidia GeForce RTX 3060 Graphics/Windows 11/MSO/WQHD), 39.62 cm (15.6 inch)",AMD Ryzen7 6800H Mobile Processor, 16GB, Windows 11,1 tb ssd,129990
"Asus HN362WS TUF F15 Gaming Laptop (11th Gen Intel Core i5-11400H/16 GB/512 GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-11400H Processor, 16 GB, Windows 11,512 gb ssd,83990
"Asus HN356W TUF F15 Gaming Laptop (10th Gen Intel Core i5-10300H/16 GB/512 GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 11/Full HD), 39.62 cm (15.6 inch)",10th Gen Intel Core i5-10300H Processor, 16 GB, Windows 11,512 gb ssd,58990
"Lenovo F9IN Yoga Slim 7 Pro Laptop(11th Gen Intel Core i5-11320H/16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11/MSO), 35.56 cm (14 inch)",11th Gen Intel Core i5-11320H Processor, 16 GB, Windows 11,512 gb ssd,70990
"Asus Vivobook 14 Laptop (10th Gen Intel i3-1005G1/8GB RAM/1TB HDD/Intel UHD Graphics/Windows 11/HD), 35.56 cm (14 Inch)",10th Gen Intel Core i3-1005G1 Processor, 4GB On Board + 4GB SO-DIMM (DDR4), Windows 11 Home,1tb hdd,27990
"HP 15-eh2025au Laptop (AMD Ryzen 5 5625U/8 GB/ 512 GB SSD/AMD Radeon Graphics/Windows 11/MSO/Full HD), 39.6 cm (15.6 inch)",AMD Ryzen 5 5625U Mobile Processor, 8GB, Windows 11,512gb ssd,57499
"HP 14-DY0208TU Pavilion x360 Convertible Laptop (11th Gen-Intel Core i3-1125G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/FHD), 35.56 cm (14 inch)",Intel Core i3-1125G4 Processor, 8GB, Windows 11 Home 64 Single Language,512gb ssd,55490
"Asus HN075WS TUF A15 Gaming Laptop (AMD Ryzen 7 4800H/16 GB/512 GB SSD/4 GB Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen7 4800H Mobile Processor, 16 GB, Windows 11,512 gb ssd,82990
"HP Pavilion 15-ec2144AX Gaming Laptop (AMD Ryzen 5 5600H/8 GB/512GB SSD/NVIDIA GeForce GTX 1650/Windows 11/MSO/FHD), 39.62 cm (15.6 Inch)",AMD Ryzen 5 5600H, 8GB, Windows 11,512 gb ssd,62999
"HP Pavilion 15-EG2039TU Laptop (12th gen Intel Core i7-1260P/16 GB/1 TB SSD/Iris Xe Graphics/Windows 11/MSO/Full HD), 39.6 cm (15.6 inch)",12th gen Intel Core i7-1260P, 16 GB, Windows 11,1 tb ssd,95999
"HP Pavilion x360 14-EK0078TU Convertible Laptop (12th Gen Intel Core i5-1235U/16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 35.6 cm (14 inch), Space Blue",12th Gen Intel Core i5-1235U, 16 GB,,512 gb ssd,72199
"Lenovo 7HIN IdeaPad 3 Laptop (AMD Ryzen 5-5500U/8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 5500U Processor, 8GB, Windows 11,512 gb ssd,45990
"Asus K8035WS ROG Zephyrus M16 Gaming Laptop (12th Gen-Intel core i7-12700H/16GB/1TB SSD/6GB Nvidia Geforce RTX 3060/Windows 11/MSO/WQXGA), 40.64 cm (16 inch)",12th Gen-Intel core i7-12700H,, Windows 11,1tb ssd,174990
"Asus KM045WS VivoBook Pro 14 (2021) Laptop (AMD Ryzen 7 5800H/16GB/512GB SSD/4GB/Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/OLED), 35.56 cm (14 inch)",AMD Octa Core Ryzen 7-5800H, 16GB, Windows 11,512gb ssd,89990
"Lenovo IdeaPad 3i 8YIN Laptop (10th Gen Intel Core i3-10110U/8 GB/1 TB HDD/Intel UHD Graphics/Windows 11/ Full HD), 39.624 cm (15.6 inch)",10th Gen Intel Core i3-10110U Processor, 8GB, Windows 11 Home,1 tb hdd,33490
"Dell Inspiron 3515 Laptop (AMD Ryzen 5 3450U/8GB RAM/512GB SSD/AMD Vega Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 Inch)",AMD Ryzen 5-3450U Processor, 8 GB DDR4, Windows 11,512gb ssd,47799
"Dell 3511 Inspiron 15 Laptop (11th Gen Intel Core i3-1115G4/8GB/256 GB SSD/Windows 11/MSO/FHD),39.62 cm (15.6 inch)",Intel Core Intel Core i3-1115G4, 8 GB, Windows 11,256 gb ssd,33999
"HP 15s-FQ5112TU Laptop (12th Gen Intel Core i5-1235U/16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch), Natural Silver",12th Gen Intel Core i5-1235U, 16 GB,,512 gb ssd,63490
"Apple Z124 MacBook Air (Apple M1 Chip/16 GB/256 GB SSD/macOS Big Sur/Retina), 33.74 cm (13.3 inch) (Z12400095)",Apple M1 Chip 8-Core, 16 GB, MacOS Big Sur,,119900
"HP Pavilion 15-eg2035TU Laptop (12th Gen Intel Core i5-1240P/16 GB/ 512 GB SSD/Iris X Graphics/Windows 11 Home/Full HD), 39.6 cm (15.6 inch)",12th Gen Intel Core i5-1240P Processor, 16GB, Windows 11,512gb ssd,73990
"Asus MB511WS VivoBook 16X Laptop (AMD Ryzen 5 5600H/16 GB/512 GB SSD/AMD Radeon Vega 7 Graphics/Windows 11/MSO/WUXGA), 40.64 cm (16 inch)",AMD Ryzen 5 5600H Mobile Processor, 16 GB, Windows 11,512 gb ssd,52990
"Lenovo PPIN IdeaPad Flex 5 Convertible Laptop (AMD Ryzen 5 5500U/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO 2021/FHD), 35.56 cm (14 Inch)",AMD Ryzen 5 5500U Processor,, Windows 11 Home,,64990
"Lenovo XYIN IdeaPad 3 Thin and Light Laptop(11th Gen-Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 11,512 gb ssd,50990
"Asus VivoBook S 15 L501WS Laptop (12th Gen Intel Core i5-12500H/16 GB/512GB SSD/Windows 11/MSO/OLED), 39.62 cm (15.6 inch)",Intel Core i5-12500H Processor, 16GB, Windows 11 Home,512gb ssd ssd,71990
"Samsung Galaxy Book2 Pro Laptop (Intel EVO 12th Gen i7 Processor/16 GB RAM/512 GB/Intel Iris Xe Graphics/Windows 11 Home), 33.78 cm (13.3 inch), Silver",33.78cm (13.3 inch) FHD AMOLED Display,,,,109990
"Samsung Galaxy Book2 360 Convertible Laptop (Intel EVO 12th Gen i5 Processor/16 GB RAM/512 GB/Intel Iris Xe Graphics/Windows 11 Home), 33.78 cm (13.3 inch), Graphite",33.78 cm (13.3 inch) FHD AMOLED touch screen Display,,,,94990
"Asus ROG Strix G15 G513 (2022) Gaming Laptop (AMD Ryzen 7 6800H/16 GB RAM/1TB SSD/NVIDIA GeForce RTX 3050/Windows 11/FHD), 39.62 cm (15.6 inch)",AMD Ryzen 7 6800H, 16 GB, Windows 11,1 tb ssd,100990
"HP 14-DY0207TU Pavilion x360 Convertible Laptop (11th Gen-Intel Core i3-1125G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/FHD), 35.56 cm (14 inch)",Intel Core i3-1125G4 Processor, 8GB, Windows 11 Home 64 Single Language,512gb ssd,54999
"HP 14-DY1049TU Pavilion x360 Convertible Laptop (11th Gen-Intel Core i5-1155G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/FHD), 35.56 cm (14 inch)",Intel Core i5-1155G7 Processor, 16GB, Windows 11 Home 64 Plus Single Language,512gb ssd,68199
"HP 15-DU3519TX Pavilion Laptop (11th Gen-Intel Core i5-1135G7/8GB/512GB SSD/2GB/NVIDIA GeForce MX450 Graphics/Windows 11/MSO/FHD), 39.6 cm (15.6 inch)",Intel Core i5-1135G7 Processor, 8GB, Windows 11,512gb ssd,54999
"Dell Vostro 3400  Laptop (11th Gen Intel i5-1135G7/8 GB/512 GB SDD/Windows 11/MSO 21/Full HD), 35.56 cm (14 inch)",11th Gen Intel i5-1135G7, 8GB , Windows 11,512 gb ssd,40999
"Lenovo V2IN IdeaPad Slim 3i Laptop (11 Gen Intel Core i3-1115G4/8GB/512GB SSD/Integrated Intel UHD Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",11th Gen Intel Core i3-1115G4  Processor,, Windows 11,512 gb ssd,42990
"Lenovo V1IN IdeaPad 3 Laptop (11th Gen Intel Core i5-1135G7/8 GB/512 GB SSD/Intel Iris Xe/Windows 11/MSO 2021/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 8GB, Windows 11,512 gb ssd,56490
"Asus VivoBook 15 EJ502WS Laptop (12th Gen Intel Core i5-1240P/8GB/512GB SDD/Intel Iris Xe Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",12th Gen Intel Core i5-1240P, 8GB , Windows 11 ,512 gb ssd,52990
"Asus K2067TS ROG Zephyrus G14 Gaming Laptop (AMD Ryzen 7 R7-4800HS/8GB/1TB SSD /‎4 GB/Nvidia GeForce GTX 1650/Windows 10/MSO/WQHD), 29.46 cm (14 inch)",AMD Ryzen 7-R7-4800HS Processor, 8 GB, Windows 10,1 tb ssd,64990
"Lenovo 7EIN IdeaPad Slim 3i Laptop (AMD Ryzen 5 5500U/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",AMD Ryzen 5 5500U Processor,8 GB, Windows 11 Home,,46990
"Samsung Galaxy Book2 Laptop (12th Gen Intel Core i7 processor/16 GB RAM/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home), 15.6 inch (39.62 cm), Silver",12th Gen Intel Core i7-1255U Processor, 16 GB, Windows 11 Home,512 gb ssd,79990
Asus EC312WS VivoBook Flip 14 Convertible Laptop(11th Gen Intel Core i3-1115G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/Full HD) 35.56 cm (14 Inch),Processor- Intel Core i3-1115G4,,,,48990
"Asus KM531WS ZenBook 14 Laptop (12th Gen Intel Core i5-1240P/16GB/512 GB SDD/Intel Iris Xe Graphics/Windows 11/MSO/OLED), 35.56 cm (14 inch)",12th Gen Intel Core i5-1240P Processor 1.7 GHz, 16GB, Windows 11 Home,512 gb ssd,84990
"Dell G15 Gaming Laptop (12th Gen-Intel Core i7-12700H/16GB/512GB SSD/4 GB/Nvidia GeForce RTX 3050Ti Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",12th Gen 14 Core Intel Core i7-12700H Processor, 16 GB, Windows 11,512 gb ssd,106999
"Dell 5410 Inspiron 14 2-in-1 Convertible Laptop (11th Gen Intel Core i3-1125G4 /8 GB/256GB SSD/Intel Integrated Graphics/Windows 11/ MSO/Full HD), 35.56 cm (14 Inch)",11th Gen Intel Core i3-1125G4, 8 GB , Windows 11,256 gb ssd,45999
"Asus LD123WS ROG Flow Z13 Gaming Laptop (12th Gen Intel Core i7-12700H/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050 Graphics /Windows 11/MSO/Full HD Plus),34.03 cm (13.4inch)",12th Gen Intel Core i7-12700H Processor, 16 GB, Windows 11,512 gb ssd,131990
"Dell Inspiron 14-7425 Convertible Laptop (AMD Ryzen 7-5825U/16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Home/MSO/FHD), 35.6 cm (14 inch), Pebble",AMD Ryzen 7 5825U, 16 GB,,512 gb ssd,92499
"HP 15s-fq2674TU Laptop (11th Gen Intel Core i3-1115G4/8GB/512GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch), Natural silver",11th Gen Intel Core i3-1115G4, 8 GB,,512 gb ssd,41990
"Lenovo Slim IdeaPad 5 15ITL05 Laptop(11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch), Graphite Grey",11th Gen Intel Core i5-1135G7, 16 GB,,512 gb ssd,58990
"Apple MacBook Pro Laptop (Apple M2 Max Chip/32 GB/1 TB SSD/macOS Ventura/Liquid Retina), 41.05 cm (16.2 Inch)",Apple M2 Max Chip 12-Core, 32 GB, macOS Ventura,1 tb ssd,349900
"Apple MacBook Pro Laptop (Apple M2 Pro Chip/16 GB/1 TB SSD/macOS Ventura/Liquid Retina), 35.97 cm (14.2 Inch)",Apple M2 Pro Chip 12-Core, 16 GB, macOS Ventura,1 tb ssd,249900
"Dell 5410 Inspiron 14 2-IN-1 Convertible Laptop (11th-Intel Core i5-1155G7/8GB/512GB SSD/2GB/Nvidia GeForce MX350 Graphics/Windows 11/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1155G7 Processor, 8 GB, Windows 11,512 gb ssd,75999
"Asus HP702WS ZenBook Flip 13 2-in-1 Convertible Laptop (11th Gen-Intel Core i7-1165G7/16GB/512GB SSD/Windows 11/MSO/OLED), 33.78 cm (13.3 inch)",11th Gen Intel Core i7-1165G7 Processor, 16 GB, Windows 11,512 gb ssd,107999
"Lenovo 8EIN Ideapad Silm 3i Laptop (10th Gen-Intel Core i3-10110U/8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",Intel Core i3-10110U Processor, 8 GB, Window 11,256 gb ssd,33990
"Dell G15 5511 Gaming Laptop (11th Gen Intel Core i5-11400H/16GB/512GB SSD/4 GB Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",Intel Core i5-11400H Processor, 16 GB , Windows 11,512 gb ssd,72299
"Asus BQ301WS VivoBook 15 Laptop (AMD Ryzen 3 3200U/8 GB/256 GB SSD/AMD Radeon Vega 3 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 3 3200U Mobile Processor, 8 GB, Windows 11,256 gb ssd,31990
"Asus HN036WS TUF Dash F15 Gaming Laptop (12th Gen Intel Core i5-12450H/8 GB/512 GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",12th Gen Intel Core i5-12450H Processor, 8 GB, Windows 11,512 gb ssd,73990
"Asus LD049WS ROG Flow Z13 Gaming Laptop (12th Gen Intel Core i5-12500H/16 GB/512 GB SSD/Integrated Graphics/Windows 11/MSO/Full HD Plus), 34.03 cm (13.4 inch)",12th Gen Intel Core i5-12500H Processor, 16 GB, Windows 11,512 gb ssd,96990
"Lenovo 61IN IdeaPad 5 Laptop(AMD Ryzen 5 5625U/16GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",AMD Ryzen 5 5625U Mobile Processor, 16GB, Windows 11,512gb ssd,64991
"Lenovo E5IN IdeaPad Silm 3i Laptop (10th Gen Intel Core i3-10110U/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11/ Full HD), 39.62 cm (15.6 inch)",Intel Core i3-10110U, 8GB, Windows 11,512 gb ssd,33990
"Apple MacBook Pro Laptop (Apple M2 Pro Chip/16 GB/1 TB SSD/macOS Ventura/Liquid Retina), 41.05 cm (16.2 Inch)",Apple M2 Pro Chip 12-Core, 16 GB, macOS Ventura,1 tb ssd,269900
"Samsung Galaxy Book3 Laptop (13th Gen Intel Core i5-1335U/8 GB/512 GB SSD/Iris Xe Graphics/Windows 11 Home/FHD), 39.62 cm (15.6 Inch)",13th Gen Intel Core i5-1335U, 8 GB, Windows 11 Home,512 gb ssd,74990
"Samsung Galaxy Book3 Laptop (13th Gen Intel Core i7-1355U/16 GB/512 GB SSD/Iris Xe Graphics/Windows 11 Home/FHD), 39.62 cm (15.6 Inch)",13th Gen Intel Core i7-1355U, 16 GB, Windows 11 Home,512 gb ssd,89990
"Acer EX215 Extensa 15 Laptop (11th Gen Intel Core i5-1135G7/8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home), Charcoal Black, 39.6 cm (15.6 Inch)",39.6 cm (15.6 Inch) FHD Display with Acer BlueLightShield,,,,44990
"Apple MacBook Pro Laptop (Apple M2 Pro Chip/16 GB/512 GB SSD/macOS Ventura/Liquid Retina), 35.97 cm (14.2 Inch)",Apple M2 Pro Chip Deca-Core, 16 GB, macOS Ventura,512 gb ssd,199900
"Lenovo ULIN IdeaPad 3 Gaming Laptop (AMD Ryzen 5-5600H/16 GB/512GB SSD/4GB/ Nvidia GeForce RTX 3050 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 5600H Processor, 16 GB, Windows 11,512 gb ssd,69990
"HP 16-f1003TU Spectre x360 Laptop (12th Gen-Intel Core i7-12700H/16GB/512GB SDD/Intel Iris Xe Graphics/Windows11/MSO), 40.6 cm (16 inch)",12th Gen Intel Core i7-12700H Processor, 16 GB, Windows 11,512 gb ssd,149999
"Dell Inspiron 15 3520 Laptop (12th Gen Intel Core i5-1235U/16 GB/512 GB SSD/Intel Integrated Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",12th Gen Intel Core i5-1235U, 16 GB, Windows 11 Home,512 gb ssd,69999
"Dell Inspiron 15 3520 Laptop (12th Gen Intel Core i5-1235U/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",12th Gen Intel Core i5-1235U, 8 GB, Windows 11 Home,512 gb ssd,61499
New Microsoft Surface Pro 9 Intel 12 Gen Evo i5/8GB/256GB/13 Inch/PT/W11 (QEZ-00048) Sapphire,Built on the Intel Evo Platform with 12th Gen Intel Core Processors, 8 GB, Windows 11 Home,256 gb ssd,113990
New Microsoft Surface Pro 9 Intel 12 Gen Evo i7/16GB/256GB/13 inch/GT/W11(QIL-00031) Graphite,Built on the Intel Evo Platform with 12th Gen Intel Core Processors, 16 GB, Windows 11 Home,256 gb ssd,162990
New Microsoft Surface Pro 9 Intel 12 Gen Evo i7/32GB/1TB/13 inch/PT/W11(QLP-00014) Platinum,Built on the Intel Evo Platform with 12th Gen Intel Core Processors, 32 GB, Windows 11 Home,1 tb ssd,261990
New Microsoft Surface Laptop 5 Intel 12 Gen Evo i5/8GB/256GB/13.5 inch/PT/W11(QZI-00023) Platinum,Built on the Intel Evo Platform with 12th Gen Intel Core Processors, 8 GB, Windows 11 Home,256 gb ssd,103990
New Microsoft Surface Laptop 5 Intel 12 Gen Evo i7/16GB/512GB/13.5 inch/BL/W11(RBG-00048) Black,Built on the Intel Evo Platform with 12th Gen Intel Core Processors, 16 GB, Windows 11 Home,512 gb ssd,172990
"Lenovo GRIN IdeaPad 3 Gaming Laptop (11th Gen-Intel Core i5-11320H/8 GB/512GB SSD/4GB/ Nvidia GeForce GTX 1650 Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-11320H Processor, 8 GB, Windows 11,512 gb ssd,57990
"Lenovo 5FIN IdeaPad 5 Laptop (12th Gen-Intel Core i5-1235U/16 GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",12th Gen Intel Core i5-1235U Processor, 16 GB, Windows 11,512 gb ssd,66990
"AXL Vayu Book Thin and Light Laptop (Intel Celeron-N4020/4GB/128GB SSD/UHD Graphics/Windows 11/Full HD), 35.81 cm (14.1 inch)",Intel Celeron N4020 Processor, 4GB, Windows 11 Home,128 gb ssd,17999
"Lenovo 2VIN Ideapad3 Gaming Laptop(AMD Ryzen 5 5600H/8GB/512GB SSD/4GB/Nvidia GeForce RTX 3050/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5 5600H Processor, 8 GB, Windows 11 Home,512 gb ssd,64990
"Lenovo IdeaPad 3 Laptop (11th Gen Intel Core i3-1115G4/8 GB/512 GB SSD/Integrated Intel UHD Graphics/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i3-1115G4, 8 GB, Windows 11 Home,512 gb ssd,40990
